id,genus,spp,tree_number,stem_number,dbh,health,alive,standing,old_plot_col,zone,plot,oldtag,dhas.1,dhas.2,notes,new_genus,new_species
Jun.vir.833.1,Jun,vir,833,1,54,0,0,1,M1,M,1,,,,,,
Nys.syl.834.1,Nys,syl,834,1,49,5,1,1,M1,M,1,,,,,,
Nys.syl.835.1,Nys,syl,835,1,96,2,1,1,M1,M,1,,,,,,
Jun.vir.836.1,Jun,vir,836,1,,,,,M1,M,1,,,,,,
Pin.tae.837.1,Pin,tae,837,1,341,5,1,1,M1,M,1,,,,,,
Pin.tae.838.1,Pin,tae,838,1,219,5,1,1,M1,M,1,,,,,,
Jun.vir.839.1,Jun,vir,839,1,131,0,0,1,M1,M,1,,,,posion ivy,,
Nys.syl.840.1,Nys,syl,840,1,212,4,1,1,M1,M,1,,,,,,
Nys.syl.841.1,Nys,syl,841,1,170,2,1,1,M1,M,1,,,,,,
Nys.syl.842.1,Nys,syl,842,1,65,0,0,1,M1,M,1,,,,,,
Jun.vir.843.1,Jun,vir,843,1,102,5,1,1,M1,M,1,,,,,,
Pin.tae.844.1,Pin,tae,844,1,455,6,1,1,M1,M,1,,,,,,
Pin.tae.845.1,Pin,tae,845,1,406,5,1,1,M1,M,1,,,,,,
Nys.syl.846.1,Nys,syl,846,1,125,4,1,1,M1,M,1,,,,,,
Nys.syl.847.1,Nys,syl,847,1,85,0,0,1,M1,M,1,,,,,,
Pin.tae.848.1,Pin,tae,848,1,421,6,1,1,M1,M,1,,,,,,
Nys.syl.849.1,Nys,syl,849,1,187,5,1,1,M1,M,1,,,,,,
Jun.vir.850.1,Jun,vir,850,1,,2,1,1,M1,M,1,,,,posion ivy,,
Nys.syl.851.1,Nys,syl,851,1,98,3,1,1,M1,M,1,,,,,,
Jun.vir.852.1,Jun,vir,852,1,84,0,0,1,M1,M,1,,,,,,
Pin.tae.853.1,Pin,tae,853,1,248,4,1,1,M1,M,1,,,,,,
Jun.vir.854.1,Jun,vir,854,1,238,9,1,1,M1,M,1,,,,,,
Nys.syl.855.1,Nys,syl,855,1,131,3,1,1,M1,M,1,,,,,,
Pin.tae.856.1,Pin,tae,856,1,415,8,1,1,M1,M,1,,,,,,
Jun.vir.857.1,Jun,vir,857,1,155,7,1,1,M1,M,1,,,,,,
Jun.vir.858.1,Jun,vir,858,1,149,3,1,1,M1,M,1,,,,,,
Jun.vir.859.1,Jun,vir,859,1,,,,,M1,M,1,,,,,,
Jun.vir.860.1,Jun,vir,860,1,135,7,,,M1,M,1,,,,,,
Nys.syl.861.1,Nys,syl,861,1,151,6,1,1,M1,M,1,,,,,,
Jun.vir.862.1,Jun,vir,862,1,131,7,1,1,M1,M,1,,,,,,
Jun.vir.863.1,Jun,vir,863,1,,,,,M1,M,1,,,,,,
Pin.tae.864.1,Pin,tae,864,1,413,3,1,1,M1,M,1,,,,,,
Jun.vir.865.1,Jun,vir,865,1,46,0,0,1,M1,M,1,,,,,,
Nys.syl.866.1,Nys,syl,866,1,43,5,1,1,M1,M,1,,,,,,
Nys.syl.867.1,Nys,syl,867,1,55,0,0,1,M1,M,1,,,,,,
Pin.tae.868.1,Pin,tae,868,1,351,0,0,1,M1,M,1,,,,,,
Jun.vir.869.1,Jun,vir,869,1,54,0,0,1,M1,M,1,,,,,,
Nys.syl.870.1,Nys,syl,870,1,131,3,1,1,M1,M,1,,,,,,
Nys.syl.871.1,Nys,syl,871,1,110,4,1,1,M1,M,1,,,,,,
Jun.vir.872.1,Jun,vir,872,1,85,7,1,1,M1,M,1,,,,,,
Nys.syl.873.1,Nys,syl,873,1,22,0,0,1,M1,M,1,,,,,,
Jun.vir.874.1,Jun,vir,874,1,53,0,0,1,M1,M,1,,,,,,
